rent,bedrooms,neighborhood
2969,2,Roslindale
1699,0,Roslindale
2900,4,Roslindale
5250,1,Roslindale
2300,1,Roslindale
5670,3,Roslindale
8220,3,Roslindale
9960,3,Roslindale
3870,2,Roslindale
3885,2,Roslindale
5070,2,Roslindale
2600,2,Roslindale
2600,2,Roslindale
2300,1,Roslindale
3350,2,Roslindale
3300,2,Roslindale
2750,1,Roslindale
3700,3,Roslindale
3500,3,Roslindale
3800,3,Roslindale
3000,2,Roslindale
3500,4,Roslindale
3650,4,Roslindale
2700,2,Roslindale
3200,3,Roslindale
2400,2,Roslindale
6750,2,Roslindale
2795,3,Roslindale
3550,4,Roslindale
5310,2,Roslindale
2700,2,Roslindale
4000,1,Roslindale
3200,3,Roslindale
3600,4,Roslindale
2850,3,Roslindale
3130,1,Roslindale
3650,2,Roslindale
3650,2,Roslindale
3675,2,Roslindale
3130,1,Roslindale
3675,2,Roslindale
3650,2,Roslindale
3695,2,Roslindale
3000,3,Roslindale
2450,2,Roslindale
3650,2,Roslindale
1700,1,Roslindale
2450,2,Roslindale
3200,3,Roslindale
2700,2,Roslindale
2700,2,Roslindale
5650,5,Jamaica Plain
3300,3,Jamaica Plain
3450,5,Jamaica Plain
3940,4,Jamaica Plain
6000,5,Jamaica Plain
3400,3,Jamaica Plain
16800,5,Jamaica Plain
15150,5,Jamaica Plain
15870,5,Jamaica Plain
2938,1,Jamaica Plain
2800,3,Jamaica Plain
4000,3,Jamaica Plain
2707,1,Jamaica Plain
3450,3,Jamaica Plain
3000,3,Jamaica Plain
2970,1,Jamaica Plain
2423,0,Jamaica Plain
2850,1,Jamaica Plain
2375,0,Jamaica Plain
3350,2,Jamaica Plain
3350,2,Jamaica Plain
2408,0,Jamaica Plain
2678,0,Jamaica Plain
3100,3,Jamaica Plain
3594,2,Jamaica Plain
3495,2,Jamaica Plain
2343,0,Jamaica Plain
2740,1,Jamaica Plain
2705,1,Jamaica Plain
2574,0,Jamaica Plain
2438,0,Jamaica Plain
