city,zone,ward,ward_no,total_bill_2013,comm_bill_2013,resident_bill_2013,total_bill_2014,comm_bill_2014,resident_bill_2014,total_bill_2015,comm_bill_2015,resident_bill_2015,area,pop2011
Bengaluru City,YALAHANKA,Kempegowda Ward,1,11.29,2.51,8.78,37.09,4.63,32.47,72.29,12.94,59.35,10.9,34783
Bengaluru City,YALAHANKA,Chowdeshwari Ward ,2,5.96,0.2,5.76,13.07,0.56,12.51,14.44,0.73,13.7,6.5,36602
Bengaluru City,YALAHANKA,Attur,3,198.87,9.02,189.85,258.09,14.88,243.21,333.33,27.43,305.9,8.8,58129
Bengaluru City,YALAHANKA,Yelahanka Satellite town,4,956.31,641.99,314.32,1308.14,835.2,472.95,1771.45,1196.47,574.98,4.6,41986
Bengaluru City,YALAHANKA,Jakkur,5,4.64,0.13,4.51,60.51,5.17,55.34,104.8,10.85,93.95,23.5,52025
Bengaluru City,YALAHANKA,Byatarayanapura,7,458.72,156.77,301.95,716.75,138.17,578.58,891.48,211.64,679.84,10,71855
Bengaluru City,YALAHANKA,Kodigehalli,8,113.49,18.84,94.65,233.45,32.18,201.27,310.88,55.05,255.83,10,72154
Bengaluru City,YALAHANKA,Vidyaranyapura,9,753.54,545.33,208.2,1064.34,434.85,629.5,1305.9,547.44,758.46,3.8,47546
Bengaluru City,YALAHANKA,Doddabommasandra,10,15.69,1.23,14.46,34.86,2.33,32.53,50.03,5.42,44.62,9.9,57195
Bengaluru City,YALAHANKA,Kuvempunagar,11,0.29,0,0.29,3.87,0.07,3.8,4.66,0.11,4.55,4.2,36396
Bengaluru City,DASARAHALLI,Shettyhalli,12,13.44,0.65,12.79,75.79,4.82,70.97,118.94,14.31,104.63,7.1,37128
Bengaluru City,DASARAHALLI,Mallasandra,13,43.82,1.79,42.03,119.92,5.45,114.48,148.65,7.65,141,8.1,61071
Bengaluru City,DASARAHALLI,Bagalagunte,14,150.57,5.57,145,299.67,22.51,277.16,320.21,33.02,287.2,1.3,41482
Bengaluru City,DASARAHALLI,T. Dasarahalli,15,583.03,515.21,67.81,760.44,577.48,182.96,934.61,687.5,247.11,4.3,65113
Bengaluru City,RR NAGAR,Jalahalli,16,243.94,152.64,91.3,331.67,185.33,146.34,431.62,230.01,201.61,0.9,33042
Bengaluru City,RR NAGAR,J.P.Park,17,216.28,25.91,190.37,359.83,42.32,317.5,465.1,61.15,403.95,5.2,37959
Bengaluru City,EAST,Radhakrishna Temple Ward,18,295.38,48.5,246.88,378.9,67.01,311.88,510.17,105.59,404.58,2,49610
Bengaluru City,EAST,Sanjaynagar,19,178.3,29.84,148.45,230.94,44.29,186.65,334.01,75.53,258.48,1.9,35122
Bengaluru City,EAST,Ganganagar,20,132.64,36.27,96.36,172.34,52.03,120.31,225.89,72.13,153.76,1.5,32491
Bengaluru City,EAST,Hebbal,21,257.41,56.95,200.46,336.2,80.33,255.88,496.87,129.45,367.42,2.3,27361
Bengaluru City,EAST,VishwanathNagenahalli,22,134.61,14.46,120.16,180.78,20.05,160.73,240.57,28.5,212.07,1.2,32516
Bengaluru City,EAST,Nagavara,23,42.48,2.34,40.14,107.77,4.99,102.78,165.4,12.55,152.84,1.5,51592
Bengaluru City,EAST,HBR Layout,24,167.44,37.35,130.09,292.16,58.67,233.49,444.55,90.38,354.17,2.1,60483
Bengaluru City,MAHADEVPURA,Horamavu,25,11.57,0,11.57,36.43,0.32,36.11,43.67,2.31,41.36,4.6,58967
Bengaluru City,MAHADEVPURA,Ramamurthynagar,26,89.18,0.51,88.67,363.79,16.96,346.83,487.26,54.61,432.65,17.5,95368
Bengaluru City,EAST,Banasawadi,27,397.38,82.94,314.44,513.65,117.89,395.76,703.68,180.67,523.01,7.3,47358
Bengaluru City,EAST,Kammanahalli,28,383.42,87.52,295.9,493.62,153.19,340.43,625.14,234.38,390.76,3.4,51268
Bengaluru City,EAST,Kacharakanahalli,29,203.86,40.62,163.25,264.6,61.53,203.07,358.92,87.47,271.45,1,47074
Bengaluru City,EAST,Kadugondanahalli,30,73.74,6.26,67.48,87.34,9.59,77.75,112,12.31,99.69,1.7,33588
Bengaluru City,EAST,Kushalnagar,31,46.19,3.08,43.11,57.47,5.07,52.4,76.99,6.4,70.59,0.7,45748
Bengaluru City,EAST,Kavalbyrasandra,32,269.77,34.01,235.75,348.65,49.28,299.36,478.48,70.97,407.51,0.6,41936
Bengaluru City,EAST,Manorayanapalya,33,114.36,17.72,96.64,143.49,22.97,120.52,202.39,35.53,166.86,1.6,39334
Bengaluru City,EAST,Gangenahalli,34,214.05,123.13,90.92,255.33,153.23,102.11,315.2,189.07,126.13,0.8,47926
Bengaluru City,WEST,Aramane Nagar,35,243.17,90.29,152.88,305,124.42,180.57,387.38,159.67,227.71,1.1,24308
Bengaluru City,WEST,Mathikere,36,152.18,25.3,126.88,218.22,44.11,174.1,294.41,66.45,227.95,7.5,36738
Bengaluru City,RR NAGAR,Yeshwanthpur,37,101.38,17.64,83.74,145.36,25.92,119.45,186.91,35.55,151.36,0.9,37036
Bengaluru City,RR NAGAR,H.M.T,38,707.17,582.17,125,862.25,684.68,177.58,1106.52,852.43,254.09,0.8,41107
Bengaluru City,DASARAHALLI,Chokkasandra,39,42.59,3.15,39.44,178.97,14.52,164.46,276.53,39.45,237.08,5.2,36879
Bengaluru City,RR NAGAR,Peenya Industrial Area,40,170.18,56.5,113.69,293.33,81.09,212.24,397.92,110.33,287.59,3.8,59289
Bengaluru City,DASARAHALLI,Lakshmidevinagar,41,141.87,33.97,107.9,192.36,41.16,151.2,277.81,53.88,223.92,12.9,72794
Bengaluru City,RR NAGAR,Nandini Layout,42,207.42,25.62,181.8,301.67,43.1,258.57,408.1,54.58,353.53,5.5,57814
Bengaluru City,WEST,Marappanahalli,43,247.71,74.89,172.83,307.1,86.41,220.69,399.74,100.5,299.24,1.5,41352
Bengaluru City,WEST,Malleshwaram,44,124.43,28.33,96.1,164.63,40.33,124.3,223.37,55.28,168.1,1.4,51200
Bengaluru City,WEST,Jayachamarajendra Nagar,45,499.21,285.92,213.29,534.79,277.71,257.07,751.03,425.61,325.42,2,40212
Bengaluru City,EAST,Devarajeevanahalli,46,11.01,2.2,8.8,19.62,3.41,16.21,31,5.27,25.72,1.8,34196
Bengaluru City,EAST,Muneshwaranagar,47,36.3,3.34,32.96,46.18,5.36,40.82,63.66,7.02,56.64,0.9,31449
Bengaluru City,EAST,Lingarajapura,48,86.74,5.99,80.75,112.27,10.75,101.52,151.31,15.31,136,1.4,42135
Bengaluru City,EAST,Benniganahalli,49,1003.78,741.56,262.22,1061.43,756.02,305.41,1426.77,1036.32,390.46,0.5,35814
Bengaluru City,EAST,Vijinapura,50,49.66,2.53,47.13,152.92,6.75,146.18,258.67,33.27,225.41,0.9,37955
Bengaluru City,MAHADEVPURA,K.R.Puram,51,29.17,2.14,27.03,184.49,5.68,178.81,309.03,33.24,275.79,4.9,49094
Bengaluru City,MAHADEVPURA,Basavanapura,52,9.35,0.02,9.33,79.73,5.65,74.08,136.5,25.45,111.05,2.1,46159
Bengaluru City,MAHADEVPURA,Hoodi,53,98.92,67.58,31.34,274.49,100.01,174.48,557.43,380.72,176.71,4.8,35168
Bengaluru City,MAHADEVPURA,Devasandra,54,50.01,7.76,42.26,114.24,9.41,104.83,193.41,52.39,141.02,6.3,48585
Bengaluru City,MAHADEVPURA,A. Narayanapura,55,102.94,10.68,92.27,442.02,23.74,418.28,562.28,119.67,442.61,15,50191
Bengaluru City,MAHADEVPURA,C.V. Ramannagar,56,241.36,26.78,214.58,334.89,59.84,275.04,462.6,93.3,369.3,3.5,33946
Bengaluru City,EAST,Hosathippasandra,57,334.25,100.98,233.27,490.63,144.05,346.58,665.7,188.78,476.92,2.1,43443
Bengaluru City,EAST,Maruthiseva Nagar,58,322.6,41.73,280.87,425.57,57.99,367.58,543.41,72.57,470.83,3.6,58815
Bengaluru City,EAST,Sagayapuram,59,119.97,14.82,105.15,145.92,21.09,124.83,176.49,26.62,149.87,3.4,43983
Bengaluru City,EAST,S.K. Garden,60,151.2,78.23,72.97,193.18,98.6,94.57,181.58,47.73,133.85,2.4,40362
Bengaluru City,EAST,Ramaswamy palya,61,125.25,10.32,114.93,156.48,12.48,144,215.09,20.96,194.13,0.8,35334
Bengaluru City,EAST,Jayamahal,62,437.83,237.82,200.01,517.54,293.32,224.22,682.6,393.7,288.9,1.3,38050
Bengaluru City,EAST,Rajamahal,63,185.93,32.88,153.05,234.46,44.19,190.27,326.26,70.24,256.02,0.8,34394
Bengaluru City,WEST,Kadumalleshwara,64,412.45,120.5,291.95,511.19,151.88,359.31,664.09,217.08,447.02,1.4,21728
Bengaluru City,WEST,Subramanyanagar,65,257.5,47.64,209.85,369.45,67.48,301.96,478.42,88.01,390.41,0.7,31118
Bengaluru City,WEST,Nagapura,66,345.97,92.71,253.26,444.59,129.35,315.24,607.85,189.65,418.2,1.4,35609
Bengaluru City,WEST,Mahalakshmipuram,67,232.04,33.17,198.87,285.58,40.39,245.19,383.15,58.51,324.63,0.9,35709
Bengaluru City,WEST,Laggere,68,291.32,13.18,278.14,586.07,36.27,549.81,654.98,66.07,588.92,1.8,34574
Bengaluru City,RR NAGAR,Rajagopalanagar,69,159.05,5.75,153.3,359.31,24.02,335.29,423.7,46.61,377.09,0.9,44615
Bengaluru City,DASARAHALLI,Hegganahalli,70,204.2,12.21,191.99,426.55,26.54,400.02,583.48,48.52,534.96,1.6,57077
Bengaluru City,DASARAHALLI,Herohalli,71,0,0,0,2.44,0.04,2.4,15.13,0.98,14.15,2.2,61479
Bengaluru City,RR NAGAR,Kottigepalya,72,228.67,18.35,210.32,361.83,37.7,324.13,474.78,59.43,415.35,1.8,66314
Bengaluru City,RR NAGAR,Shakthiganapathi nagar,73,286.64,47.49,239.15,341.37,56.29,285.08,461.85,76.43,385.41,7.8,62272
Bengaluru City,WEST,Shankaramata,74,285.1,38.22,246.88,343.81,44.71,299.1,445.53,60.34,385.19,5.8,68922
Bengaluru City,WEST,Gayathrinagar,75,194.37,35.34,159.03,246.46,46.16,200.3,357.82,76.51,281.31,0.7,43844
Bengaluru City,WEST,Dattathreya Temple,76,226.12,47.63,178.49,290.89,65.09,225.8,401.84,97.81,304.02,1.1,48734
Bengaluru City,WEST,Pulikeshinagar,77,332.3,109.78,222.52,392.32,126.51,265.81,519.54,171.11,348.42,0.6,33236
Bengaluru City,EAST,Sarvagnanagar,78,175.57,50.75,124.82,216,62.45,153.55,277.62,74.71,202.91,0.7,33388
Bengaluru City,EAST,Hoysalanagar,79,452.24,216.19,236.05,547.43,273.73,273.7,707.8,353.41,354.4,1.7,28835
Bengaluru City,EAST,Vignananagar,80,46.74,5,41.74,340.78,15.62,325.15,513.51,59.59,453.92,3.6,37291
Bengaluru City,MAHADEVPURA,Garudacharpalya,81,73.15,27.18,45.97,297.71,38.24,259.47,384.57,229.41,155.16,2.1,35228
Bengaluru City,MAHADEVPURA,Kadugodi,82,9.09,0,9.09,21.37,0.17,21.2,38.38,15.73,22.65,5.7,57062
Bengaluru City,MAHADEVPURA,Hagadooru,83,134.64,59.32,75.33,255.44,75.44,180,333.09,105.56,227.52,6.8,49631
Bengaluru City,MAHADEVPURA,Doddanekkundi,84,511.14,321.89,189.24,854.45,451.72,402.73,1093.53,641.35,452.18,11.2,43942
Bengaluru City,MAHADEVPURA,Marathalli,85,80.46,25.11,55.35,207.26,50.07,157.2,416.19,176.01,240.18,12.6,50556
Bengaluru City,MAHADEVPURA,HAL Airport,86,11.3,0,11.3,141.46,2.55,138.92,238.07,20.67,217.4,12,63083
Bengaluru City,MAHADEVPURA,Jeevanbhimanagar,87,486.31,291.48,194.84,581.12,339.03,242.1,756.31,445.58,310.73,3.1,39768
Bengaluru City,EAST,Jogupalya,88,287.42,77.33,210.1,343.62,97.11,246.51,434.19,119.39,314.8,6.8,39926
Bengaluru City,EAST,Ulsoor,89,1195.08,978.52,216.56,1433.59,1165.85,267.74,1831.75,1491.9,339.85,1.9,38251
Bengaluru City,EAST,Bharathinagar,90,296.91,205.11,91.8,380.73,264.71,116.02,470.5,320.11,150.38,0.9,33793
Bengaluru City,EAST,Shivajinagar,91,275.38,84.23,191.15,359.03,114.47,244.56,488.84,164.32,324.51,1.7,35090
Bengaluru City,EAST,Vasanthnagar,92,1426.69,1137.75,288.95,1546.52,1207.97,338.55,1936.6,1541.91,394.69,0.8,32689
Bengaluru City,EAST,Gandhinagar,93,1899.74,1492.13,407.61,1753.72,1377.9,375.82,2305.23,1849.8,455.43,0.4,37506
Bengaluru City,WEST,Subhashnagar,94,59.3,7.05,52.24,74.42,9.14,65.28,98.09,10.4,87.69,3.1,22815
